B,B_exp,M,R,nRun,udl,cap_r,nam,nam_set,hog,sag
11100000000000.002,15700000000000,473381.7744731829,0.4144144144144142,1,3000,0.001307684459870671,C1_2_3000,C1_2,s2,s12
11100000000000.002,11100000000000.002,-304205.1021575944,0,1,3000,0.0010242596032242236,C1_2_3000,C1_2,s2,s12
11100000000000.002,11100000000000.002,-1067449.8378753678,0,1,3000,0.0035941071982335615,C1_2_3000,C1_2,s2,s12
11100000000000.002,11100000000000.002,-1816151.7529010845,0,1,3000,0.006114989067007018,C1_2_3000,C1_2,s2,s12
11100000000000.002,11100000000000.002,-2550650.0942230243,0,1,3000,0.008588047455296378,C1_2_3000,C1_2,s2,s12
11099783761894.404,11100000000000.002,-3270606.759262087,1.9481289927467093E-05,1,3000,0.011012143970579417,C1_2_3000,C1_2,s2,s12
11098492845560.404,11100000000000.002,-3976194.894027712,0.00013579811786791797,1,3000,0.013387861596052902,C1_2_3000,C1_2,s2,s12
11097228386727.178,11098607520907.432,-4667419.381332399,0.0001242773539655557,1,3000,0.01571521677216296,C1_2_3000,C1_2,s2,s12
11095990101284.045,11096750294071.654,-5344192.840290115,6.851058631725026E-05,1,3000,0.017993915287172105,C1_2_3000,C1_2,s2,s12
11094778215131.96,11094932433354.477,-6006621.285629274,1.3900072585974692E-05,1,3000,0.02022431409302786,C1_2_3000,C1_2,s2,s12
11093592753612.383,11093154177092.043,-6654617.867660524,3.9534218542232947E-05,1,3000,0.02240612076653375,C1_2_3000,C1_2,s2,s12
11092433624307.36,11091415413456.613,-7288223.336410524,9.179327866473246E-05,1,3000,0.02453947251316675,C1_2_3000,C1_2,s2,s12
11091300702600.658,11089716289173.76,-7907384.225082399,0.00014285190433317965,1,3000,0.02662418931004175,C1_2_3000,C1_2,s2,s12
11090194363680.945,11088056607939.41,-8512172.066879272,0.0001927608905156838,1,3000,0.02866051200969452,C1_2_3000,C1_2,s2,s12
11089114113733.877,11086436143911.502,-9102669.15864949,0.00024149537960460992,1,3000,0.030648717705890536,C1_2_3000,C1_2,s2,s12
11088060431912.756,11084855657693.717,-9678598.336410522,0.00028902928864054,1,3000,0.03258787318656742,C1_2_3000,C1_2,s2,s12
11087032841074.22,11083314522008.342,-10240188.180160522,0.0003353754894730373,1,3000,0.03447874808134856,C1_2_3000,C1_2,s2,s12
11086031831012.732,11081812728874.51,-10787441.598129272,0.000380578208915104,1,3000,0.03632135218225344,C1_2_3000,C1_2,s2,s12
11085057153835.78,11080350802216.39,-11320167.672348022,0.0004245671947446952,1,3000,0.03811504266783846,C1_2_3000,C1_2,s2,s12
11084108684927.129,11078928005056.246,-11838634.957504272,0.0004673970653073646,1,3000,0.039860723762640646,C1_2_3000,C1_2,s2,s12
11083186590402.502,11077545062253.297,-12342579.31489949,0.0005090167979388135,1,3000,0.04155750611077269,C1_2_3000,C1_2,s2,s12
11082290869039.71,11076201324103.824,-12832237.496566772,0.0005494843086007525,1,3000,0.04320618685712718,C1_2_3000,C1_2,s2,s12
11081421522060.945,11074897401452.72,-13307386.910629272,0.0005887440158499846,1,3000,0.04480601653410529,C1_2_3000,C1_2,s2,s12
11080578507966.715,11073632712816.434,-13768239.449691772,0.0006268440898900145,1,3000,0.04635770858482078,C1_2_3000,C1_2,s2,s12
11079761825417.06,11072407762019.748,-14214611.520004272,0.0006637384009864022,1,3000,0.04786064484849924,C1_2_3000,C1_2,s2,s12
11078971475751.943,11071222353428.57,-14646574.410629272,0.0006994441984378432,1,3000,0.049315065355654115,C1_2_3000,C1_2,s2,s12
11078207406673.684,11070076209612.396,-15064229.21724324,0.0007339812988506381,1,3000,0.05072131049576848,C1_2_3000,C1_2,s2,s12
11077469773735.357,11068969790353.996,-15467408.395004272,0.0007673217399802579,1,3000,0.05207881614479553,C1_2_3000,C1_2,s2,s12
11076758547340.084,11067902850264.123,-15856201.363754272,0.0007994845277265251,1,3000,0.053387883379644015,C1_2_3000,C1_2,s2,s12
11076073526533.193,11066875394761.498,-16230606.148910522,0.0008304505878965868,1,3000,0.05464850555188728,C1_2_3000,C1_2,s2,s12
11075414965906.992,11065887411786.488,-16590627.145004272,0.000860243534877221,1,3000,0.05586069745792684,C1_2_3000,C1_2,s2,s12
11074782610869.174,11064939071513.951,-16936202.340316772,0.0008888246118313751,1,3000,0.05702425030409688,C1_2_3000,C1_2,s2,s12
11074176776310.225,11064030160890.322,-17267409.371566772,0.0009162410556428798,1,3000,0.05813942549349082,C1_2_3000,C1_2,s2,s12
11073597123181.127,11063160800453.076,-17584204.31489949,0.0009424510041279816,1,3000,0.059206075134341715,C1_2_3000,C1_2,s2,s12
11073043916911.64,11062330982339.11,-17886590.035629272,0.0009674787396236727,1,3000,0.06022420887417263,C1_2_3000,C1_2,s2,s12
11072517018028.201,11061540508057.756,-18174638.863754272,0.0009913292481351285,1,3000,0.06119407024833089,C1_2_3000,C1_2,s2,s12
11072016450689.34,11060789785015.598,-18448202.340316772,0.0010139675752598091,1,3000,0.06211515939500597,C1_2_3000,C1_2,s2,s12
11071542277873.152,11060078446063.725,-18707414.254379272,0.0010354322389518021,1,3000,0.0629879267824218,C1_2_3000,C1_2,s2,s12
11071094374963.404,11059406737754.69,-18952184.762191772,0.001055689420835009,1,3000,0.0638120699063696,C1_2_3000,C1_2,s2,s12
11070672922815.373,11058774359878.674,-19182623.26021199,0.0010747822665935383,1,3000,0.06458795710509087,C1_2_3000,C1_2,s2,s12
11070277693753.709,11058181687800.998,-19398592.965316772,0.0010926560550089891,1,3000,0.0653151278293494,C1_2_3000,C1_2,s2,s12
11069908914113.805,11057628356876.018,-19600226.754379272,0.0011093638920668773,1,3000,0.0659940294760245,C1_2_3000,C1_2,s2,s12
11069566372221.31,11057114720911.934,-19787395.699691772,0.0011248544785479526,1,3000,0.06662422794509014,C1_2_3000,C1_2,s2,s12
11069250289169.547,11056640460998.377,-19960216.012191772,0.0011391763526666045,1,3000,0.06720611451916422,C1_2_3000,C1_2,s2,s12
11068960476024.223,11056205786169.035,-20118611.520004272,0.0011522933777579772,1,3000,0.06773943272728711,C1_2_3000,C1_2,s2,s12
11068697061382.195,11055810634726.883,-20262604.70552449,0.0011642225443383232,1,3000,0.06822425826775923,C1_2_3000,C1_2,s2,s12
11068459908685.361,11055454974689.547,-20392207.223129272,0.0011749542486583478,1,3000,0.06866063038090664,C1_2_3000,C1_2,s2,s12
11068249186650.852,11055138819279.97,-20507414.254379272,0.0011845023679709847,1,3000,0.06904853284302785,C1_2_3000,C1_2,s2,s12
11068064764001.89,11054862224835.336,-20608205.270004272,0.0011928498294927787,1,3000,0.06938789653200092,C1_2_3000,C1_2,s2,s12
11067906691656.941,11054625113637.99,-20694608.590316772,0.0012000081306217472,1,3000,0.06967881680241338,C1_2_3000,C1_2,s2,s12
11067774983015.596,11054427515167.045,-20766613.473129272,0.0012059757149954313,1,3000,0.06992125748528374,C1_2_3000,C1_2,s2,s12
11067669584440.219,11054269461522.643,-20824208.22114949,0.0012107447566392022,1,3000,0.07011517919578952,C1_2_3000,C1_2,s2,s12
11067590561706.594,11054150912682.652,-20867407.418441772,0.0012143247393377595,1,3000,0.0702606310385245,C1_2_3000,C1_2,s2,s12
11067537871818.25,11054071876510.178,-20896208.199691772,0.0012167110213701017,1,3000,0.07035760336596557,C1_2_3000,C1_2,s2,s12
11067511524194.16,11054032355744.021,-20910609.566879272,0.0012179041712016747,1,3000,0.07040609281777532,C1_2_3000,C1_2,s2,s12
15598791105194.893,15563103116706.248,67178432.03135729,0.002287868864194181,2,3000,0.1855757790921472,C1_2_3000,C1_2,s2,s12
15601915450223.533,15567138799595.049,65277625.39073229,0.002228998787965238,2,3000,0.18032493201859748,C1_2_3000,C1_2,s2,s12
15605072517302.672,15571133670050.197,63396041.40635729,0.0021748599511372804,2,3000,0.17512718620540688,C1_2_3000,C1_2,s2,s12
15608197316309.943,15575087819300.463,61533637.10948229,0.0021212889828655847,2,3000,0.16998242295437097,C1_2_3000,C1_2,s2,s12
15611289956482.025,15579001239054.219,59690416.40546322,0.0020682927239077968,2,3000,0.1648906530537658,C1_2_3000,C1_2,s2,s12
15614350363532.996,15582873809047.768,57866435.93850136,0.002015873459503085,2,3000,0.15985203297928552,C1_2_3000,C1_2,s2,s12
15617378537473.355,15586705632963.453,56061646.87421322,0.001964023887639259,2,3000,0.15486642782931828,C1_2_3000,C1_2,s2,s12
